id,product,brand,color,quantity,size,price,productRating,reviewTitle,review,first_name,last_name,email,gender
1,Jeans,Preiser,Red,3,M,739,1,Some major design flaws,Quisque id justo sit amet sapien dignissim vestibulum.,Eula,Cundey,ecundey0@meetup.com,Female
2,Jeans,Bachmann,Red,1,XS,1355,3,Nice Product,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Kelly,Neagle,kneagle1@purevolume.com,Male
3,Jeans,Roco,Red,2,XS,1067,5,My thing favorite,Proin at turpis a pede posuere nonummy.,Christen,Bernli,cbernli2@wikimedia.org,Female
4,Shirt,Preiser,Black,5,XL,620,3,Nice Product,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Lela,Heaker,lheaker3@issuu.com,Female
5,Top,Faller,Black,3,M,988,4,Love it!,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Tobi,Almeida,talmeida4@hp.com,Female
6,Coat,Bachmann,Silver,4,XS,1243,3,Nice Product,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Dollie,Tither,dtither5@deviantart.com,Female
7,Kurti,Takara Tomy,Orange,4,L,1114,2,Bad Quality,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Mahalia,Lorimer,mlorimer6@liveinternet.ru,Female
8,Dress,Bachmann,Brown,5,XL,1985,5,My thing favorite,Sed vel enim sit amet nunc viverra dapibus.,Lissy,McKain,lmckain7@globo.com,Female
9,Coat,Roco,Yellow,5,XL,1478,3,Nice Product,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Rosalyn,Lauks,rlauks8@indiatimes.com,Female
10,Kurti,Bachmann,White,2,S,1997,1,Some major design flaws,Quisque ut erat. Curabitur gravida nisi at nibh.,Langsdon,Domnick,ldomnick9@hugedomains.com,Male
